trace_folder_path,episode_id,instruction
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_17,15104928044864284932,Empty the shopping cart on bestbuy.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_15,14898222607635459621,Show me the best rated coffee table on Ikea
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_9,10336935087118457153,"Clear the cart on amazon. Add ""razer deathadder"" to the cart on amazon"
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_12,11064280273539174345,Search for the best selling books on Target.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_4,10025436101560086995,Search for the new nike air max shoes on Nike.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_3,10019828397132907250,"Search for ""dell xps"" on ebay.com, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_11,1100302095480193870,Look up the best rated coffee maker on Lowe's.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_2,10016075255396203771,"Search for macbook on newegg, select the first entry, and add it to the cart."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_14,1220946176073399009,Show me the top rated dinnerware on Crate & Barrel
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_13,11210827016250414937,Look up the best rated video games on bestbuy.com
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_18,15109604761158895069,View the shopping cart on amazon.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_8,10211715098999396623,Empty the shopping cart on newegg.com.
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_19,16407057040754038407,"View the shopping cart on newegg. Search for logitech g pro on newegg, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_10,10687312993694464564,"Show the shopping cart on bestbuy.com. Search for panasonic triple a on bestbuy.com, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_1,159087172207427285,"Search for bose soundlink mini on bestbuy.com, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_7,10206507729967790953,"Add ""usb-c to usb-a"" to the cart on target.com"
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_5,10049733765249109445,"Search for panasonic triple a on costco, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_16,14931427782969634949,"Clear the shopping cart on bestbuy. Search for ""usb-c"" on bestbuy, select the first entry, add it to the cart, then select checkout."
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_6,1018105402240989758,Search for the best gaming monitor on Best Buy
/data/jxq/mobile-agent/aitw_replay_data/webshopping/trace_0,136734590865918536,"Add ""amazon basics triple a"" to the cart on amazon"
