trace_folder_path,episode_id,instruction
/data/jxq/mobile-agent/aitw_replay_data/install/trace_17,12329784371069414483,"install app ""Calculator"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_15,12411529750813182311,"install app ""YouTube Kids"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_9,18111418915520682125,"uninstall ""Duolingo: language lessons"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_12,12944175060824682900,"open app ""HBO Max: Stream TV & Movies"" (install if not already installed) and go to login screen"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_3,625666791332945222,"open app ""Facebook"" (install if not already installed) and enter user name: ""resultants@gmail.com"" and password: ""earned"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_11,13065134076605903239,"uninstall ""Microsoft Authenticator"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_2,456252872880478313,"uninstall ""Microsoft Excel"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_14,12852013953220349756,"open app ""NewsBreak: Local News & Alerts"" (install if not already installed) and enter user name: ""switch@outlook.com"" and password: ""fabrics"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_13,1289799277936902548,"install app ""Booking.com: Hotels and more"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_18,11987929509433361963,"open app ""Duolingo: language lessons"" (install if not already installed), go to login, and select forgot password"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_8,16713501499318826779,"open app ""Messages"" (install if not already installed)"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_19,11308530348773251676,"open app ""Facebook"" (install if not already installed), go to login, and select forgot password"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_10,13253931976515142869,"open app ""Nova Launcher"" (install if not already installed) and go to login screen"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_1,435532784588803030,"open app ""Firefox Browser"" (install if not already installed)"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_7,1278315063969553502,"open app ""McDonald's"" (install if not already installed) and go to login screen"
/data/jxq/mobile-agent/aitw_replay_data/install/trace_5,10764637231793248966,"open app ""VLC for Android"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_16,12332283688054386795,"open app ""Expedia: Hotels, Flights & Car"" (install if not already installed) and enter user name: ""crusader@outlook.com"" and password: ""Toryize"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_6,1113309466888726728,"open app ""eBay: The shopping marketplace"""
/data/jxq/mobile-agent/aitw_replay_data/install/trace_0,302019774564249279,"open app ""Microsoft Excel"" (install if not already installed), go to login, and select forgot password"
